start_node,end_node,start_lat,start_lon,end_lat,end_lon,length,duration,oneway
252416621,252416620,53.2357281,8.5949058,53.2356958,8.5955707,44.397,3.1965839999999996,False
252416621,4767022961,53.2357281,8.5949058,53.2358703,8.5948269,16.661,1.199592,False
252416621,2295108587,53.2357281,8.5949058,53.2354927,8.5950055,27.003,1.944216,False
252416623,917227971,53.219027,8.6488039,53.2197532,8.6481764,90.917,6.546024,True
252416625,6033266442,53.2172561,8.6504449,53.2178129,8.6499149,71.264,5.131008,True
252416627,917228000,53.2130008,8.6551828,53.2143508,8.6535338,185.985,13.390920000000001,True
252416629,917227939,53.2079077,8.6629068,53.2089482,8.6610931,167.257,12.042504,True
256327746,280835029,53.2227917,8.6048187,53.2232388,8.6074376,181.297,13.053384,False
256327746,1308272095,53.2227917,8.6048187,53.2226763,8.6042215,41.777,5.01324,False
257595046,257595056,53.2425274,8.5579879,53.2432266,8.559485,126.368,9.098495999999999,False
257595046,301832359,53.2425274,8.5579879,53.2420486,8.5573226,69.242,4.985424,False
257595056,3651583844,53.2432266,8.559485,53.2435191,8.5601334,54.031,3.8902319999999997,False
257595056,257595046,53.2432266,8.559485,53.2425274,8.5579879,126.368,9.098495999999999,False
257595068,301832209,53.2445012,8.5635489,53.2441802,8.5654765,133.136,9.585792,False
257595068,469215699,53.2445012,8.5635489,53.2446186,8.5630203,37.517,2.7012240000000003,False
257595070,301832362,53.2448172,8.5615979,53.2448889,8.5618029,15.8,1.1376,False
257595070,3651583850,53.2448172,8.5615979,53.244202,8.5604787,101.121,7.280711999999999,False
257595228,2780908579,53.2650565,8.5995404,53.2650762,8.5996043,4.781,0.344232,False
257595228,2780908578,53.2650565,8.5995404,53.2650252,8.5994389,7.595,0.54684,False
257595231,2780908572,53.2625027,8.5957341,53.2635802,8.5965969,132.846,9.564912,False
257595231,2780908571,53.2625027,8.5957341,53.2622931,8.5949793,55.349,3.9851279999999996,False
257942386,5864458390,53.2811288,8.6324448,53.2821747,8.6317708,124.632,8.973504,True
257942401,917264472,53.2794796,8.6334174,53.280297,8.6329614,95.814,6.898607999999999,True
257942472,917264577,53.2749771,8.635235,53.275979,8.6349279,113.262,8.154864,True
257942490,257942472,53.2738871,8.6355406,53.2749771,8.635235,122.894,8.848368,True
257942492,917264474,53.2724169,8.6358582,53.2727275,8.6358006,34.749,2.501928,True
257942522,6032556042,53.2675421,8.6361886,53.2682593,8.636198,79.752,5.742144,True
257942530,917264519,53.2643544,8.6359969,53.2663109,8.6361396,217.76,15.678719999999998,True
257942603,6032556038,53.2584295,8.6355389,53.2593859,8.63562,106.484,7.666847999999999,True
257942608,917264415,53.255408,8.635451,53.2569434,8.6354903,170.749,12.293928,True
257942616,1347406792,53.252665,8.6355143,53.2539709,8.635466,145.245,10.45764,True
257942633,20973986,53.247039,8.6361005,53.2490619,8.6358268,225.672,16.248383999999998,True
257942744,917264406,53.2367752,8.6387099,53.2378727,8.638312,124.877,8.991144,True
257942889,1549457519,53.2270776,8.6408558,53.2267604,8.640891,35.349,1.2725639999999998,True
257943039,1549457516,53.2262886,8.6427296,53.2261831,8.6425531,16.603,0.9961800000000001,True
259251678,270168147,53.2159594,8.5852738,53.2160161,8.5853358,7.536,0.542592,False
259433224,4995541219,53.2166566,8.6735822,53.217426,8.6733985,86.423,10.370759999999999,False
